,article_body,category,city,date,heading,sentiment,link,paper
46,"New Delhi: Calling the demonetisation of Rs 500 and Rs 1,000 currency notes a ""huge scam"", CM Arvind Kejriwal on Saturday demanded an immediate rollback of the decision. He alleged that BJP had tipped off its ""friends"" about the move much before PM Narendra Modi's announcement.    Referring to the deaths, which are believed to have been caused by the ongoing cash crisis and the long queues at ATMs, Kejriwal said that the Centre's move was a ""surgical strike"" on the common man's small savings and not a crackdown on the black marketeers.    Addressing a press conference on Saturday, the CM questioned the ""intention"" of the ruling dispensation behind the decision and alleged that it was a ""deliberate"" attempt to create chaos. ""As a result of this tip-off on demonetisation of Rs 500 and Rs 1,000 notes, there was a massive rise in the amounts of deposits in several public sector banks over the last quarter,"" Kejriwal alleged.    He cited a TV channel's report which pointed out the ""stunning growth in deposits, in contrast with the negative growth in deposits recorded in the previous quarters"". ""From July to September, there had been a sudden jump in deposits of money in banks, which clearly indicates that BJP had told its friends much before the announcement by the PM. In the name of fighting the black money, a huge scam is operating in the country,"" he said.    To substantiate his claim, Kejriwal alleged that Sanjeev Kamboj, who heads BJP's Punjab legal cell, was seen with new of Rs 2,000 notes on social media days before the PM's announcement.    Crores of rupees had been deposited in banks during July-September quarter at a massive level. However, some people would attribute that the huge deposit were done because of recently-concluded I-T declaration scheme, the CM said.    ""Under ITDS, money had to be deposited in the treasury of the central government. But when we talk about demonetisation, cash has been deposited by certain people at massive level in their bank accounts as they were told by BJP much before the announcement on withdrawing high currency notes. Demonetisation will only lead to redistribution of black money,"" Kejriwal added.    Kejriwal claimed that existing ATMs were not designed for notes of new denominations. How will the Centre change ATMs now at a big scale? They knew it very well and they deliberately created this crisis,"" he said.    The Delhi CM posed three questions to the PM and BJP president Amit Shah on withdrawing higher currency notes. ""What according to the PM is the definition of black money? Have India's top industrialists amassed black money or the common man like farmers, rickshaw-pullers, shopkeepers and labourers did? BJP should disclose a list of all its friends whom it had told about the demonetisation much before the PM's announcement,"" he said.    ""Thirdly, the BJP should also come out with a list of touts who are taking commission from common people in exchanging their invalid notes with new ones, cashing in on the situation and where is the money collected by them going?""",city,delhi,"Updated: Nov 13, 2016, 06.57 AM IST",CM: BJP’s ‘friends’ got prior info about demonetisation,,http://timesofindia.indiatimes.com//city/delhi/CM-BJPs-friends-got-prior-info-about-demonetisation/articleshow/55393764.cms,toi
47,"Panaji: Faced with a sudden liquidity crunch due to the Union government's surgical strike on their purchasing power, Goans have suddenly woken up to digital wallets and plastic money. Search engine trends shows that online search for online e-wallets, Paytm began to rise on November 8 after Prime Minister Narendra Modi announced that high-value notes would be demonetized.    The adoption of card-based payments has also seen an increase and banking officials expect digital payment to gain further traction in the coming days. ""We saw debit card growth by nearly 60%. We believe that cards as well as internet banking will continue to grow henceforth,"" senior vice-president for cards and acquiring business at Axis Bank, Sangram Singh, said.    Since Tuesday's announcement, digital wallets such as Freecharge, Paytm and Mobikwik have seen a spike in users. The story is the same in Goa as locals begin to search for cashless ways to pay for utilities like phone recharges, petrol and food.    On November 8 at 6:30 pm, Google trends showed a swell in online queries for demonetization, 500 notes and Paytm.    Paytm reported an overwhelming 435% increase in traffic and a 200% hike in number of app downloads. Freecharge reported a 12-time surge in the average wallet balance as consumers loaded up their accounts.    Amit Bhor the chief executive officer of Walnut, a digital expense-tracker, said, ""This jolt will definitely change user behaviour which will lead to higher usage of banks, cards, digital tracking and payments with an app like Walnut. Walnut saw a five-fold increase in ATM usage among its users at a much lower average ticket size of less than 500.""    The demand for point of sale (POS) devices has also seen an increase, bankers say. ""Earlier merchants did not always have POS devices but we are seeing an interest there too and our teams are out in the market. We do expect to see a lot of digital payment growth happening,"" Singh said.",city,goa,"Updated: Nov 13, 2016, 11.01 AM IST","Demonetization: Now, Goans look to digitize their wallets",,http://timesofindia.indiatimes.com//city/goa/Demonetization-Now-Goans-look-to-digitize-their-wallets/articleshow/55393569.cms,toi
48,"AHMEDABAD: As team India take on England at Rajkot and the illegal cricket betting season begins, the demonetization of high-value notes has brought punting to a grinding halt in the state infamous for it.    Not just cricket, bookmakers had been accepting bets on the US presidential elections, and held Hillary Clinton as the favourite to become the 45th president of the US and become the first woman in the White House.    ""The demonetization came one day ahead of the US presidential elections results, and as Donald Trump emerged the surprise winner it saved us from taking final bets. We halted payments to winners for now as we don't much valid currency notes but we will pay them in the near future,"" a city-based bookmaker said on condition of anonymity.    Meanwhile sources in the bookie circles said it will take a while for betting to restart, especially on cricket, as big names have gone underground, probably to settle their ""black money"" troubles.    Gujarat has always been a hub for cricket bookies, who occasionally take bets on other important events as well. The enforcement directorate had recently busted a cricket betting racket, allegedly worth some Rs 4,000 crore, at a farmhouse on the outskirts of Vadodara city.    ""The arrests of some big names in the racket shows the magnitude of the illegal cricket betting business in Gujarat. With the sudden withdrawal of Rs 1,000 and Rs 500 notes, and with cricket season just beginning, the illegal bookmaking business in Gujarat is likely to lose turnover of some Rs 5,000 crore,"" added another bookie.",city,ahmedabad,"Nov 13, 2016, 06.04 AM IST",Demonetization halts illegal cricket betting,,http://timesofindia.indiatimes.com//city/ahmedabad/Demonetization-halts-illegal-cricket-betting/articleshow/55393530.cms,toi
49,"BENGALURU: Images of people lined up in front of banks and ATM kiosks after PM Narendra Modi's announcement rendering Rs 500 and Rs 1,000 notes illegal tender have become commonplace. However, it is retailers across the city who are bearing the brunt of the decision, with their sales going down drastically in the past four days.    The average number of customers at the MG Road outlet of fashion retail store, Pantaloons has dropped from 400 every day to 200. ""Around 40% of our transactions were in cash, acccounting for about Rs 40,000 daily. Now, we get only Rs 1,000 in cash, while the rest are using debit cards,"" says store manager, Ramesh.    Former president of the Karnataka Hosiery and Garment Association Sajjanrai Mehta has called it the ""worst sales week for traders"". I agree that this move will help 95% of the people. But, with no cash in circulation, our sales have dropped by 25%.In fact, cash transactions are not happening at all. The government should ensure that trade is not affected,"" he said, noting that most personnel at the stores had joined the queues outside banks and ATMs.    Despite huge amounts of money spent on advertising mobile wallets such as Freecharge, not many customers have been using it for transactions at offline stores. Pantaloons started acce pting Freecharge and Mobikwik three weeks ago, but not a single customer has made a payment through the portals, despite the demonetisation this week. The situation was similar at restaurants and cafes, where mobile wallets have not helped either. One Cafe Coffee Day outlet in the heart of the city, where the sales figures hovered around Rs 50,000 before, has seen the umber drop to Rs 30,000. The cash sales, which accounted for Rs 35,000 on an average, have now crashed to Rs 5,000 a day.    The largest Indian mobile wallet, Paytm, said that it was deploying more people to reach out to offline stores.Paytm employee, Hari Babu said that he was receiving offers from restaurants in the city, which had initially declined to tie up with the service. ""We had two restaurants in the MG Road area earlier.In the next ten days, we will be tying up with five more""",city,bengaluru,"Nov 13, 2016, 06.36 AM IST",Bengaluru retail outlets bear brunt of demonetization,,http://timesofindia.indiatimes.com//city/bengaluru/Bengaluru-retail-outlets-bear-brunt-of-demonetization/articleshow/55395146.cms,toi
50,"They say that to engineer and execute a major economic stunner, you need a few Guja ratis. While the Gujarati connection of Prime Minister Narendra Modi and current RBI governor, Urjit Patel, is quite evident in the ongoing demonetization drive, three Gujaratis had executed a similar surgical strike on black money, 38 years ago, in 1978.    The new Janata party regime led by PM Morarji Desai had just stormed into power riding on the popular wave against corruption and nepotism of the Indira Gandhi-led Congress party soon after the Emergency. On January 16, 1978, Union finance minister H M Patel, went on air at 9 am to announce demonetization of Rs 5,000, Rs 10,000 and Rs 1,000 notes.    H M Patel was a native of Dharmaj in Anand. Then Prime Minister Morarji Desai belonged to Bhadeli in Valsad, while the then 14th RBI governor, I G Patel belonged to Palana village in Gujarat's Kheda district -the same place from where the current RBI governor, Urjit Patel's family , hails. Interestingly, both these RBI governors had to execute the task of demonetization within two months of assuming office.    A striking similarity between the two demonetization drives is that both took off just a few months prior to assembly elections in seven states.    Back in 1978, there were elections in AP , Arunachal Pradesh, Assam, Karnataka, Maharashtra, Meghalaya and Mizoram, starting from June 1978. The current demonetization drive is taking place when there are assembly elections scheduled for Goa, Manipur, Punjab, Uttarakhand, UP , Gujarat and Himachal Pradesh starting in 2017.    In his memoirs, 'Glimpses of Indian Economic Policy', I G Patel admits that he went along with demonetization `reluctantly'. Patel claims in his book that he had pointed out to the finance min ister H M Patel that ""People who have black money on a substantial scale rarely keep it in cash."" The present RBI governor, Urjit Patel, restricted himself by saying, ""RBI has been concerned about the growing menace of fake Indian currency notes which has been increasing in numbers.""    In Gujarat, during the two days of the 1978 drive, Surat had emerged as the district with the highest deposits of demonetized notes.    An SBI bank official is quoted in a TOI report (March 10, 1978) that 6,250 people had deposited notes worth Rs 2.77 crore.    Surprised at a large number of donations to temples, trusts and institutions in Gujarat, Union finance minister H M Patel undertook a tour on January 19, 1978 to warn that institutions accepting donations in high value demonetized notes should prove that they had received them before the government had passed the ordinance. The impact was felt in most markets--diamond, bullion, and dyes and chemicals - where use of unaccounted high denomination notes was substantial.    On January 20, 1978, TOI reported that there were long queues outside 16 collection centres in Ahmedabad even till 6.30 pm and some Rs 20 lakh was collected during that time. It was also alleged that in Bhadra and others areas Rs 1,000 notes were being offered for Rs 200 and yet there were no buyers. Bullion traders claimed that demonetization had pushed gold prices up from Rs 692 to Rs 710 per 10 grams.    Allegations of ""leaks"" ahead of the demonetization drive had flown thick during the Morarji regime as well. Former PM Indira Gandhi, during a press meet in Bangalore in February 1978, had said, ""People in `certain circles' knew about the step well in advance and had got high-value notes exchanged."" When a TOI correspondent asked her how much money she had lost after demonetization, Indira shot back: ""I have nothing to lose.""    Indira was seconded by former finance minister C Subramaniam, who said that rival netas were the real targets.",city,ahmedabad,"Nov 13, 2016, 06.55 AM IST",Great Indian demonetizers made in Gujarat,,http://timesofindia.indiatimes.com//city/ahmedabad/Great-Indian-demonetizers-made-in-Gujarat/articleshow/55395206.cms,toi
51,"HYDERABAD: Leader of Opposition in Telangana Legislative Council, Mohammad Ali Shabbir, demanded that the central government withdraw the newly-introduced Rs 2,000 notes and reconsider the decision to demonetize old currency. Addressing media here on Saturday, Shabbir Ali said the NDA government's late-night decision to demonetize Rs 500 and Rs 1,000 notes had hit the common man hard. ""Thousands of people have been queuing up outside banks to exchange the old notes. They have been put to hardship for no fault of theirs. The Centre said the demonetization was targeted at money hoarders and those who avoided paying income tax. But instead, it has brought misery to common people,"" he said.    Prime Minister Narendra Modi from acting against 648 influential Indians whom the Centre had identified as holding accounts in Swiss banks. He alleged that the Centre's hasty decision had also exposed the blatant lie of 'surprise decision'. ""Those with black money received prior information about the demonetization decision. This explains why the rich are not queuing up outside banks. About 100 crore people have been affected by the thoughtless action of the Centre,"" Shabbir Ali said.    He also said the Centre must reconsider its decision on the Rs 2.5 lakh ceiling for deposits in accounts. ""This is not in the interests of the public. The decision has driven several genuine income tax payers to the brink. While the rich are busy converting their black money into gold, the common man is left to struggle on roads, waiting outside banks and ATM kiosks for their turn,"" the Congress leader said.",city,hyderabad,"Updated: Nov 13, 2016, 11.44 AM IST",Demonetisation hurting common man hard: Congress,,http://timesofindia.indiatimes.com//city/hyderabad/Demonetisation-hurting-common-man-hard-Congress/articleshow/55395383.cms,toi
52,"THIRUVANANTHAPURAM: CPI on Saturday hit out at the Centre over the demonetisation of Rs 1,000 and Rs 500 currency notes, saying it was a bid to cover up Prime Minister Narendra Modi's ""failure"" in reining in black money.    The demonetisation policy of the BJP-led NDA government will not curb black money as it continues to exist in the forms of gold and stock exchange deposits, CPI state secretary Kanam Rajendran said.    Addressing a 'meet-the-press' programme organised by Kerala Union of Working Journalists here, he denied BJP leaders' allegation that black money to the tune of crores of rupees had been stashed away in cooperative banks in the state.    ""Will demonetisation help in putting an end to blackmoney? Then, what is the means to regulate illegal money in the form of gold and stock exchange deposits?"" Rajendran asked.    ""Modi has been saying for the last two years that he will bring back black money stashed abroad. But, he failed to fulfill his promise and the present demonetisation was an attempt to cover up his failure,"" he charged.    Referring to BJP seeking a probe into money deposited in cooperative banks in the state, the senior CPI leader said the propaganda was part of a calculated move to destroy the cooperative sector, ""a backbone"" of the state's economy.    ""Cooperative banks are being operated with the license of Reserve Bank of India. Cooperative institutions are backbone of the state's agrarian sector and play a crucial role in the state's economy,"" he said, adding that like Kerala, such institutions were significant in Gujarat also. Agencies",city,thiruvananthapuram,"Updated: Nov 13, 2016, 08.59 AM IST",'Demonetisation PM's cover-up act',,http://timesofindia.indiatimes.com//city/thiruvananthapuram/Demonetisation-PMs-cover-up-act/articleshow/55395934.cms,toi
53,"In 12 hours, there couldn't have been a starker difference to jeweller Hansraj Mehta's fortunes. At 9 pm on November 8, just hours after Prime Minister Narendra Modi announced the demonetisation of Rs 500 and Rs 1,000 notes, his store in north Mumbai was besieged by customers buying all that was available, paying with wads of currency, seeking to convert cash into more agreeable holdings in gems and jewellery.    The next morning was just the opposite — an almost empty store, with barely a dozen walk-ins and just a couple of low-value purchases. ""There's lots of cash floating around and people are now scared they will lose their money in this fight against black money,"" says Mehta. ""We expect to be back in business next week.""    For the next couple of days, the bustling market where this store is located — and thousands across the country — where cash is the primary source of income, will see business dealings plummet. From Zaveri Bazaar in Mumbai to Sadar Bazaar in Delhi and Krishna Rajendra Market in Bengaluru, businessmen sweated on the fate of their enterprises.    A dealer of PVC pipes in the Bengaluru market, who bills Rs 1.5 crore a month and is dependent on cash for 80% of his payments, spent most of the week waiting for customers. ""In three days, I had barely 10 customers walk in and of those just five made small orders,"" he grumbles.    Across the country, businessmen saw the rise and fall of their enterprises. Nikhilesh Dhawan's business too took a pounding. A Samsung dealer in Jagatpuri in Delhi saw just three or four customers making purchases a day after the big announcement, paying by cheque; in happier times, 80% of his purchases were in cash. About 10 km away, in upscale Khanna Market, Rajesh Luthra, promoter of RK Vision, a consumer electronics store, sold goods worth Rs 31 lakh until midnight, doubling his daily sales.    Otherwise fussy customers bought air purifiers, refrigerators and LED televisions in a tearing hurry to dispose of their cash. After that storm, a lull quickly descended on Wednesday, with barely 15 bills raised, compared with over 100 on a normal business day.  Honey, Have You Shrunk the Money?  As businessmen, heavily reliant on cash, fretted about their wildly swinging fortunes, most people on the street spent much of Thursday and Friday standing in queues trying to get their hands on these new notes or figuring out how to manage with the limited, legal currency at their disposal. Pradeep Kumar, a painter in suburban Mumbai, spent three hours on Thursday evening and a couple more on Friday before being able to finally withdraw money to pay his dues.    For all of Wednesday, Kumar managed with Rs 60, before empty pockets compelled him to queue up. ""This is a disservice to the poor who have to waste hours during a work day hunting for money,"" Kumar says.    This pain is amplified away from big cities. In the small town called Ezhukone in Kerala, about 20 km from Kollam, Anitha Radhakrishnan, a 59-year old retired employee, uses cash to pay for her daily milk, vegetables and fish. Following the sudden demonetisation, she was left with Rs 259, with which she had to manage all her immediate purchases, with neither her neighbourhood grocer nor the pharmacist wired to accept cards or digital payments. To make ends meet, she pleaded with an auto driver to ferry her to and from the chemist to buy medicines she and her husband urgently required.    She held on to her last few tenners and a desperate hope that the ATM-less Wednesday would pass without incident or emergency.  Hoard Unlimited  If Radhakrishnan spent her time wondering how to manage with little cash, Manish Kumar (name changed), in his cramped office in the Mumbai suburb of Andheri, is wondering how to dispose of the cash he has hoarded. An agent for the local road transport office, he keeps up to Rs 5 lakh in a locked cupboard in office and more at home. He has managed to buy some jewellery and electronics goods, but faces tough choices ahead. With fixed deposits over Rs 2.5 lakh facing tough scrutiny, that's another avenue shut, for now.    Away from the chaos of managing too much or too little cash, experts divided on the efficacy of the long-term game out black money and counterfeiting of high-value notes. ""It will tackle black money, corruption, terror money and counterfeiting — multiple with one stone,"" Shah, chairman of financial services company. ""I call it gutsy because it's a move that any political party will know will be difficult and there will be plenty of reasons not to implement.""    Dhruv Phophalia, MD with Alvarez & Marsal, a management consultancy, calls this a great one time action to cleanse the system. While this is a great first move, the Modi government needs to do much more to back this up. ""Thus requires several follow-ups, especially tightening and better enforcement of PMLA (Prevention of Money Laundering Act) and deterrence in the form of far stricter punishment to be effective.""    A clampdown on black money may be meaningless with this one-off move. While this may serve as a strong notice of intent, the government faces a series of difficult choices ahead, targeting large sectors such as real estate, which are flush with these funds. ""It is important to ensure the chain of black money doesn't return,"" says Mritunjay Kapur, partner, KPMG India, a management consultancy. In the longer term, to achieve this, the government needs to build on a range of initiatives, including GST, access to bank accounts with initiatives such as Jan Dhan and technology enablers such as Aadhaar, to make a fist of its fight against black money.    If the demonetisation has been a bigbang announcement with some immediate repercussions, it may take more gumption in the long term to strike a body blow in the fight against black money and indeed counterfeit currency. This is because a large chunk of this illicit money is squirrelled away in the form of real estate and jewellery or even overseas, away from the prying eyes of regulators. ""People with malicious intent usually catch up with these changes and are quickly go one step ahead,"" says Reshmi Khurana, managing director, Kroll India, a forensics specialist.    ""As India moves more towards a 'white' economy,' liquidating holdings overseas and stamping out counterfeiting, which thrived on operating in a cash-rich economy, must be key long-term goals.""  (Additional reporting by Malini Goyal)",business,,"Nov 13, 2016, 09.22 AM IST",Government's challenge after demonetisation: Keeping unaccounted money handlers at bay,,http://timesofindia.indiatimes.com//business/india-business/Governments-challenge-after-demonetisation-Keeping-unaccounted-money-handlers-at-bay/articleshow/55396175.cms,toi
54,"NEW DELHI: Since Prime Minister Narendra Modi made his announcement to demonetise currency notes of Rs. 500 and Rs. 1000 to fight the plague of black money earlier this week, tempers have been flying high. There have been reports of chaos prevailing in some parts of the country and even deaths occurring.    A child recently succumbed because a doctor refused to attend to him because his parents had only Rs. 500 notes that have been declared no longer legal tender. A distressed woman jumped off the Howrah Bridge because she couldn't manage to get cash from her ATM. Two elderly people died while standing in long queues in Kerala.    Poor management has given rise to large scale disenchantment.    Tehseen Poonawalla, an entrepreneur and political commentator, has claimed that the government is colluding with the real culprits.    In a series of hard-hitting tweets, Poonawalla has alleged that the BJP is laundering black money through the Patanjali Group run by one of its key supporters Baba Ramdev.    He has alleged that the meteoric rise in the sales of Patanjali products is not due to anything else but the BJP's money.    His tweets have incited divided reactions, leading many to claim that Modi's fight against black money is causing unprecedented inconvenience to the ordinary citizen. Some say it's a totally bureaucratic tactic.    Reportedly, the cost involved in the demonetisation of the old currency and replacing them with new ones will be less than the black money being checked.    Whether the government is well-intentioned or not, the common people have been hit the hardest. In a country as large as India, perhaps, Prime Minister Modi could have considered a lot more than he did.",business,,"Nov 13, 2016, 09.38 AM IST",Demonetisation leading to frayed tempers and chaos: Poonawalla,,http://timesofindia.indiatimes.com//business/india-business/Demonetisation-leading-to-frayed-tempers-and-chaos-Poonawalla/articleshow/55396303.cms,toi
55,"Indore: The ban on high-value notes has affected the collection of fines for various traffic violations. Authorities with traffic police said that the collection had decreased by a great extent.    ""Because the government has banned the use of high denomination notes, we are not able to accept Rs 500 and Rs 1,000 notes,"" said a senior traffic police official.    The government had made a few exceptions, allowing the use of these notes at places like airports, hospitals, petrol pumps and railway stations to prevent inconveniences to the people.    ""The regular collection of fines for various traffic violations has decreased to around 10 percent,"" the official said. H    e added that the daily average collection through fines on normal days is around Rs 1.5 lakh, which has decreased to around Rs 15,000 after the announcement came into effect on Wednesday.    Officials also said that though they are keeping a check on people violating traffic rules, they are unable to collect fines from them due to lack of lower denomination notes.    ""Challans being made against those found violating traffic rules allows them to pay their fine in court after a period of time. This also solves the problem of the lack of lower denomination notes,"" officials said.    Traffic police have so far issued e-notices to around 2.6 lakh traffic rule violators in the city. While only 1.1 lakh violators have paid fines for violations, a remaining 1.6 lakh of them are yet to clear their dues.    Traffic police were running a recovery drive and were sending personnel to residences of traffic violators to collect payments.",city,indore,"Updated: Nov 13, 2016, 10.01 AM IST",Demonetization affects collection of fines for traffic violations,,http://timesofindia.indiatimes.com//city/indore/Demonetization-affects-collection-of-fines-for-traffic-violations/articleshow/55396417.cms,toi
56,"Raipur: Indian Institute of Management-Raipur students are of the view that demonetization of currency will have a mixed impact on the economy, lead to fall in prices of property and increase cashless transactions.    Speaking at a panel discussion organised by Finatix, the finance club of IIM-Raipur, the speakers pointed out that there is a liquidity crunch in the market and many sectors like realty, banking, IT and e-commerce have been heavily affected. ""Students from the first and second year participated as panel members and expressed their views on the burning issue,"" said Piyush Gaurav, coordinator, Finatix.    Praising the move of the government to demonetise Rs 500 and Rs 1000 notes, Swagat Kumar Dash, a PGP second year student, said, ""Kudos to the NDA government for the bold step, which I perceive as one of the biggest reforms post-liberalization era apart from the other big reform GST, which again has been implemented by the government. The long-term effect of the demonetisation step will be positive with a blow to the parallel economy and unorganised sectors involving significant cash transactions.""    He said consumption is likely to go down for the initial few months owing to reduction in currency circulation but that will be more than compensated by pent up demand once the circulation resumes to normal levels. The e-payment sector is the one likely to gain the most, with a significant boost.    Echoing similar views, Arkaprabha Bhattacharya, a PGP first year student said, ""Considering the recent demonetization, the use of cashless transaction will immensely increase. Companies like Visa, MasterCard, and Paytm, who generate revenue through cashless wallets, will have a big time effect.""    Sumit Srivastava, a PGP first year student, said, ""Economy will suffer in this quarter due to low consumption by public owing to cash crunch and uncertainty.""    Kavisha Agarwal, a PGP second year student, opined that the decision came as a blow to black money hoarders. She explained, ""The realty sector is expected to see a fall in prices of property by 20-30 percent in the next 6 months and hence a boost in sales which have stalled for a while now."" D Santosh reckoned that the impact on automobile sector is expected to be moderate and only where cash transaction is involved. He said, ""Luxury segment is the one that will be adversely affected because of e investment of black money. Second hand market would also be adversely affected as the segment is highly unorganised.""    Kewal Krishna, a PGP second year student, was optimistic of the move and said, ""This is a positive step towards transparent and cashless economy. e-commerce as well as startup space will get a boost from this decision.""    Speaking on the challenges of demonetization, Pratik Garg, a PGP first year student, said, ""Some of the challenges for the implementation of demonetization are introduction of higher denomination note of Rs 2000 which might counter the effect to reduce the large value storage of black money.""",city,raipur,"Updated: Nov 13, 2016, 10.34 AM IST",IIM-Raipur students hail demonetization,,http://timesofindia.indiatimes.com//city/raipur/IIM-Raipur-students-hail-demonetization/articleshow/55396621.cms,toi
57,"KANPUR: It is not only people in the country who have been hit by demonetization of Rs 500 and Rs 1,000 currency notes, but even the Indians who had recently gone to Gulf countries like Saudi Arabia, Kuwait and Dubai are finding it difficult to exchange the currency and meet their daily expenses.    The worst hit are those who had gone to perform 'umrah' (lesser pilgrimage made by Muslims to Mecca, which may be performed at any time of the year) to Saudi Arabia.    Majority of these pilgrims take high denomination Indian currency notes along with them and exchange it there for their daily needs. Many Indian pilgrims who had landed in Mecca after November 8 when Rs 500 and Rs 1,000 notes were demonetized, found themselves stranded with both local money exchangers and banks refusing to accept such Indian currency notes.    ""Though umrah is of two-week duration, my relatives are planning to return early as they have no Riyals with them. They are surviving on food provided by shopkeepers or what they get at some mosques. A few pilgrims from other countries helped my relatives,"" said Hafiz Faizan, whose relatives have gone to perform 'umrah' on November 8.    ""Most of the banks in these countries have refused to exchange such notes. A few agencies that are still accepting them are deducting as high as 30% to 40% for the service rendered. The situation is so bad that many of us are surviving only on cheap dates,"" said a Kanpur resident on phone from Saudi Arabia.    Several Kanpurites, who had gone to Riyadh recently, told TOI over phone, ""We areat the mercy of Indians living here for long. The Indians working here are unable to exchange currency and are being turned away from Saudi banks,"" Mohammad Faiz Anwar, a native of Kanpur said.    ""Even Saudi nationals in money exchange business have put up boards reading 'No Exchange of Indian Currency',"" he further informed TOI. ""A few Keralites who have big businesses here are exchanging Rs 500 and Rs 1,000 notes with Riyal but after deducting 40% to 50% as commission,"" he added.    Similarly, Khalid Rasheed, a native of Kanpur working at a perfumery in Dubai, informed TOI that Dubai banks have stopped exchanging Indian currency and are asking people to come after after a week. ""Officials here (Dubai) are saying that they have been asked not to exchange high denomination Indian currency notes till next orders, he said.",city,kanpur,"Updated: Nov 13, 2016, 11.07 AM IST",Indians stuck in Gulf countries after demonetization,,http://timesofindia.indiatimes.com//city/kanpur/Indians-stuck-in-Gulf-countries-after-demonetization/articleshow/55396952.cms,toi
58,"Backing Prime Minister Narendra Modi's decision to cancel the legal tender of Rs. 500 and Rs.1000, Bollywood director Rajkumar Hirani Saturday lauded the former for taking a 'bold' and 'innovative' step to curb the menace of black money.    Admitting that there inconveniences as several ATMs are running out of cash leaving the people fuming, Hirani, however, said that the decision would ultimately benefit the nation in long term.  Rajkumar Hirani directs Akshay Kumar for health campaignActor Akshay Kumar, who is known for his fitness fundas, has been roped in as the ambassador of 'Jaan Bachao' health campaign.  Hirani said, ""People are facing a little inconvenience but people must understand and co-operate as it will be beneficial in long run.""    He said the Prime Minister Modi-led government is leaving no stones unturned to mitigate the currency crunch and expressed hope that the problem of black money will not exist henceforth.    Prime Minister Modi on Tuesday announced that the government had decided to demonetise Rs 500 and Rs 1,000 notes to tackle the menace of black money.  Rajkumar Hirani upset with Kangana00:39Ranbir @ Lifestyle Campaign115Ranbir @ Lifestyle CampaignRanbir Kapoor during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignDia Mirza during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRajkumar Hirani during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRanbir Kapoor during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignDia Mirza during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRanbir Kapoor during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRajkumar Hirani during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRanbir Kapoor during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignDia Mirza during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRajkumar Hirani during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRanbir Kapoor during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignDia Mirza during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRanbir Kapoor during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRanbir Kapoor during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)Ranbir @ Lifestyle CampaignRanbir Kapoor during the launch of NDTV-Nirmal Lifestyle, Fit India Movement campaign 'Marks for Sports' in Mumbai, India on May 6, 2015. (Pic: Viral Bhayani)",entertainment,,"Updated: Jan 29, 2017, 06.01 AM IST",Rajkumar Hirani: There are inconveniences but demonetisation will benefit the nation,,http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/bollywood-news/Rajkumar-Hirani-There-are-inconveniences-but-demonetisation-will-benefit-the-nation/articleshow/55397992.cms,toi
